Feed_ID,Part_ID,Source,Signal_Date,Symptom_Text,Potential_Safety,Linked_Claim_ID
FFF-0001,BRK-CAL-XYZ,OEM Portal,2026-01-05,Brake drag after cold start,Y,WCL-2026-0001
FFF-0002,BRK-CAL-XYZ,Dealer Report,2026-01-08,Fluid at caliper seal,Y,WCL-2026-0002
FFF-0003,BRK-CAL-XYZ,OEM Portal,2026-01-11,Audible brake noise,N,WCL-2026-0003
FFF-0004,BRK-CAL-XYZ,Fleet Telematics,2026-01-14,Right front brake drag,Y,WCL-2026-0004
FFF-0005,BRK-CAL-XYZ,Dealer Report,2026-01-17,Caliper binding during inspection,Y,WCL-2026-0005
FFF-0006,BRK-CAL-XYZ,OEM Portal,2026-01-20,Brake drag after cold start,N,WCL-2026-0006
FFF-0007,BRK-CAL-XYZ,Dealer Report,2026-01-23,Fluid at caliper seal,Y,WCL-2026-0007
FFF-0008,BRK-CAL-XYZ,OEM Portal,2026-01-26,Audible brake noise,Y,WCL-2026-0008
FFF-0009,BRK-CAL-XYZ,Fleet Telematics,2026-01-29,Right front brake drag,N,WCL-2026-0009
FFF-0010,BRK-CAL-XYZ,Dealer Report,2026-01-32,Caliper binding during inspection,Y,WCL-2026-0010
FFF-0012,STM-PNL-A1,OEM Portal,2026-02-13,Stamped Panel A1 observation,N,WCL-2026-0012
FFF-0013,ROB-ARM-G3,Fleet Telematics,2026-02-14,Robot Arm Gen3 observation,N,WCL-2026-0013
FFF-0014,FST-M8-100,Dealer Report,2026-02-15,M8 Fastener Pack observation,N,WCL-2026-0014
FFF-0015,CST-HSG-04,OEM Portal,2026-02-16,Cast Housing 04 observation,N,WCL-2026-0015
FFF-0016,BRK-PAD-STD,Dealer Report,2026-02-17,Brake Pad Standard observation,N,WCL-2026-0016
FFF-0017,BRK-ROT-090,OEM Portal,2026-02-18,Brake Rotor 090mm observation,N,WCL-2026-0017
FFF-0018,BRK-FLD-DOT4,Fleet Telematics,2026-02-19,Brake Fluid DOT4 observation,N,WCL-2026-0018
FFF-0019,STM-PNL-B2,Dealer Report,2026-02-20,Stamped Panel B2 observation,N,WCL-2026-0019
FFF-0020,STM-PNL-C3,OEM Portal,2026-02-21,Stamped Panel C3 observation,N,WCL-2026-0020
FFF-0021,FRG-LNK-077,Dealer Report,2026-02-22,Forged Link 077 observation,N,WCL-2026-0021
FFF-0022,ROB-ARM-G4,OEM Portal,2026-02-23,Robot Arm Gen4 observation,N,WCL-2026-0022
FFF-0023,ELC-HRN-12V,Fleet Telematics,2026-02-24,12V Wiring Harness observation,N,WCL-2026-0023
FFF-0024,ELC-PCB-MAIN,Dealer Report,2026-02-25,Main PCB Assembly observation,N,WCL-2026-0024
FFF-0025,ELC-MEM-08G,OEM Portal,2026-02-26,Memory Module 8G observation,N,WCL-2026-0025
FFF-0026,ELC-FW-LOAD,Dealer Report,2026-02-27,Firmware Programming observation,N,WCL-2026-0026
FFF-0027,SNS-PRX-001,OEM Portal,2026-02-01,Proximity Sensor 001 observation,N,WCL-2026-0027
