Claim_ID,Part_ID,Plant_ID,Line_ID,Customer,Failure_Mode,Severity,Claim_Date,Status
WCL-2026-0001,BRK-CAL-XYZ,plant7,L1,Northstar EV,Brake drag,High,2026-01-05,Open
WCL-2026-0002,BRK-CAL-XYZ,plant7,L1,Northstar EV,Caliper seal leak,High,2026-01-08,Open
WCL-2026-0003,BRK-CAL-XYZ,plant7,L1,Great Lakes Fleet,Brake noise,Medium,2026-01-11,Open
WCL-2026-0004,BRK-CAL-XYZ,plant7,L1,Northstar EV,Caliper binding,High,2026-01-14,Open
WCL-2026-0005,BRK-CAL-XYZ,plant7,L1,Northstar EV,Brake drag,High,2026-01-17,Open
WCL-2026-0006,BRK-CAL-XYZ,plant7,L1,Northstar EV,Brake drag,Medium,2026-01-20,Open
WCL-2026-0007,BRK-CAL-XYZ,plant7,L1,Northstar EV,Caliper seal leak,High,2026-01-23,Open
WCL-2026-0008,BRK-CAL-XYZ,plant7,L1,Great Lakes Fleet,Brake noise,High,2026-01-26,Open
WCL-2026-0009,BRK-CAL-XYZ,plant7,L1,Northstar EV,Caliper binding,Medium,2026-01-29,Open
WCL-2026-0010,BRK-CAL-XYZ,plant7,L1,Northstar EV,Brake drag,High,2026-01-32,Open
WCL-2026-0012,STM-PNL-A1,plant7,L1,Great Lakes Fleet,Wear,Low,2026-02-13,Open
WCL-2026-0013,ROB-ARM-G3,plant7,L2,Northstar EV,Fit issue,Medium,2026-02-14,Open
WCL-2026-0014,FST-M8-100,plant7,L1,Northstar EV,Vibration,Low,2026-02-15,Open
WCL-2026-0015,CST-HSG-04,plant7,L3,Northstar EV,Cosmetic,Low,2026-02-16,Open
WCL-2026-0016,BRK-PAD-STD,plant7,L1,Northstar EV,Sensor fault,Medium,2026-02-17,Open
WCL-2026-0017,BRK-ROT-090,plant7,L1,Great Lakes Fleet,Wear,Low,2026-02-18,Open
